丽江	玉龙雪山,龙泉寺,丽江古城,束河古镇,木府	牦牛肉,洋芋鸡,丽江雪桃,牦牛酸奶,松菌	茶马古道,火把节,纳西族,丽江木氏土司,印象·丽江
宜春	明月山,阁皂山,三皇宫,萝卜潭,洞山	霉豆腐,三杯鸡,扎粉,冻米糖,高安腐竹	黄梅戏,采茶戏,宜春评话,上高道情,曹洞宗
金华	横店影视城,兰溪地下长河,双龙洞,艾青故居,吴晗故居	梅菜扣肉,肉圆,清明粿,金华酥饼,金华火腿	吴语,红木,婺剧,锡雕,磐安炼火
抚州	王安石纪念馆,高坊水库,陆九渊之墓,疏山寺,文昌桥	牛肉粉,抚州米粉,广昌白莲,龙兴铺灯芯糕,桂花鲜姜酱菜	赣语,傩舞,抚州话,道情,宜黄戏
吉安	武功山,桃花岛,井冈山风景区,井冈山,西阳宫	粉蒸肉,霉豆腐,炒粉,永新狗肉,安福火腿	莲花落,盾牌舞,傩舞,烧塔,永新三角班
黔西南	马岭河峡谷,双乳峰	羊肉粉,兴义羊肉粉,贞丰糯米饭,饵块粑	阿妹戚托
龙岩	承启楼,永定土楼,冠豸山,龙崆洞,长汀古城	客家菜,灯盏糕,地瓜粉,梅干菜,长汀豆腐干	客家语,闽南语,客家话,畲族,龙岩山歌
鹰潭	龟峰,上清宫,正一观,余江茄干,天师府	炒粉,清明果,灯芯糕,茄子干,贵溪捺菜	赣语,采茶戏,赣剧,道教文化,三角班
上饶	葛仙山,三清山风景名胜区,上饶灵山风景名胜区,怀玉山,上饶云碧峰国家森林公园	藜蒿炒腊肉,炒粉,清明果,铅山烫粉,薄荷炒螺蛳	吴语,鄱阳话,广丰话,弋阳腔,鹅湖书院
临高	百仞滩,居仁瀑布,临高角,高山岭,后水湾	菠萝蜜,沙虫,烤乳猪,香蕉,香茅	闽南语,闽语,临高启明,渔民节,临高语
景德镇	浮梁古城,洪岩仙境风景区,莲花塘,古窑,玉田水库	米粉,油条包麻子,炒米粉,冷粉,饺子粑	吴语,赣语,青花瓷,陶瓷,粉彩瓷
嘉兴	乌镇,南湖,南北湖,莫氏庄园,张乐平纪念馆	青团,粽子,杭白菊,南湖菱,海宁斜桥榨菜	越剧,吴语,沪剧,绍剧,湖剧
揭阳	文昌阁,风门古径,揭阳学宫,进贤门,揭阳音乐喷泉	肠粉,蚵仔煎,蚝烙,猪脚饭,无米粿	客家语,闽南语,闽语,客家山歌,潮汕
泰州	望海楼,光孝律寺,中国人民解放军海军诞生地纪念馆,夏道行,泰州市博物馆	蟹黄汤包,臭豆腐,红烧肉,肉脯,蟹黄包	吴语,江淮官话,泰州话,泰州学派,溱潼会船节
汕尾	莲花山,凤山妈祖石像,澎湃故居,红海湾,玄武山	皮皮虾,擂茶,菜茶,菜粿,发粿	客家语,妈祖,闽南语,闽语,客家话
宿迁	楚街,洪泽湖湿地自然保护区,中国杨树博物馆,宿迁极乐律院遗址,宿北大战纪念馆	煎饼,大煮干丝,朝牌,穿城大饼,五香大头菜	淮海戏,泗州戏,苏北大鼓,淮红剧,云渡桃雕
梅州	客家围屋,五华,中国客家博物馆,神光山国家森林公园,药王寺	白切鸡,酿豆腐,客家菜,盐焗鸡,腌面	客家语,客家文化,客家山歌,客家人,客家
潮州	开元寺,凤凰山,广济桥,潮州新八景,湘子桥	肠粉,牛肉丸,潮汕功夫茶,潮汕小吃,蚝烙	客家语,闽南语,闽语,潮学,潮汕民居
佛山	千灯湖,佛山祖庙,西樵山,清晖园,岭南天地	双皮奶,云吞面,粤菜,干蒸,糯米鸡	粤语,粤剧,岭南文化,佛山剪纸,行通济
徐州	放鹤亭,苏公塔影,徐州云龙湖风景区,彭祖园,云龙山	东坡回赠肉,徐州地锅鸡,徐州辣汤,徐州烙馍,鼋汁狗肉	刘裕,徐州方言,张道陵,徐州梆子,徐州琴书
连云港	花果山,抗日山,孔望山,连云港老街,海上云台山	煎饼,凉粉,朝牌,对虾,灌云豆丹	朱自清,江淮官话,淮海戏,徐福,僮子戏
河源	苏家围,镜花缘景区,万绿湖风景区,黄龙岩,御临门温泉	酿豆腐,客家菜,盐焗鸡,东江盐焗鸡,客家酿豆腐	粤语,客家语,客家文化,闽南语,闽语
黄山	黄山,齐云山,文峰塔,太平湖,永庆庵	黄桥烧饼,徽菜,徽墨酥,毛豆腐,徽州臭豆腐	吴语,徽语,徽州文化,徽派建筑,歙砚
中山	中山公园,孙中山故居纪念馆,孙文公园,孙中山纪念堂,利和广场	咸煎饼,三乡濑粉,脆肉鲩,神湾菠萝,杏仁饼	粤语,粤剧,小榄菊花会,崖口飘色,黄圃飘色
盐城	白天鹅公园,息心寺,郝柏村故居,江苏盐城国家级珍禽自然保护区,东台董永七仙女文化园	鸡蛋饼,猪头肉,建湖藕粉圆子,马家荡螃蟹,四鳃鲈鱼	江淮官话,淮剧,香火戏,金沙湖,东台发绣
清远	连州地下河,长湖,宝晶宫,广东第一峰旅游风景区,湟川三峡	白切鸡,艾糍,东陂水角,灰水粽,清新冰糖桔	粤语,客家语,中国温泉之乡,瑶族,壮族
池州	九华山,九华天池,升金湖,平天湖,杏花村	霉豆腐,梅干菜,毛豆腐,东至米饺,西山焦枣	吴语,黄梅戏,贵池傩戏,东至花灯,青阳腔
宣城	敬亭山,中国鳄鱼湖,广德太极洞,谢朓楼,皖南事变烈士陵园	板栗,毛豆腐,炒面,锅贴饺,宁国粑粑	吴语,黄梅戏,宣纸,跳五猖,徽语
肇庆	阅江楼,九龙湖,竹海大观,鼎湖山,螺壳山	白切鸡,裹蒸粽,砂糖桔,皇帝柑,沙糖橘	粤语,广府文化,客家语,岭南文化,端砚
江门	梁启超故居,东湖,上下川岛,台山上川岛,下川岛	濑粉,新会陈皮,古井烧鹅,杜阮凉瓜,金山火蒜	粤语,粤剧,四邑话,,
阳江	海陵岛,闸坡大角湾,月亮湾,凌霄岩,阳江珍珠湾	白切鸡,油角,烧鹅,牛腩粉,杏仁茶	开渔节,阳江方言,阳江风筝,阳春话,阳江风筝节
云浮	护国寺,国恩寺,九星岩,金水台温泉,藏佛坑	鱼腐,绉纱鱼腐,河口肠粉,南乳花生,沙糖桔	粤语,客家语,涯话,瑶族,闽南话
茂名	中国第一滩旅游度假区,大雾岭,天马山,放鸡岛,浮山岭	肠粉,清补凉,砂锅粉,龙眼,荔枝	白话,飘色,涯话,年例,黎话
韶关	梅关古道,广东丹霞山世界地质公园,珠玑巷,丹霞山,三影塔	煲仔饭,酿豆腐,三华李,酸笋,山坑螺	粤语,客家语,客家文化,粤北采茶戏,月姐歌
湛江	西湖公园,十贤祠,天宁禅寺,广州湾法国公使署旧址,中澳友谊花园	白切鸡,猪肠粉,湛江生蚝,粉皮,湛江海鲜	粤语,遂溪醒狮,年例,中国醒狮之乡,雷州话
滁州	琅琊山,醉翁亭,明皇陵,韭山洞,女山湖	淮王鱼,秦栏老鹅,全椒酥笏牌,雷官板鸭,女山湖大闸蟹	黄梅戏,扬剧,庐剧,泗州戏,凤阳花鼓
桂林	李宗仁,象鼻山公园,龙胜梯田,七星公园,芦笛岩	桂花糕,恭城油茶,啤酒鱼,桂林田螺,灵川狗肉	桂林民歌,杀猪佬,桂剧,彩调,广西大鼓
贺州	客家围屋,姑婆山国家森林公园,灵峰山,大桂山,滑水冲自然保护区	糍粑,龙眼,豆腐酿,莲藕,笋干	粤语,客家语,傣族,赛龙舟,壮语
铜陵	凤凰山,和悦洲,铜陵天井湖,铜陵凤凰山,葛仙洞	铜陵生姜,顺安酥糖,铜陵茶干,野雀舌,凤丹	吴语,徽剧,庐剧,泗州戏,铜陵牛歌
梧州	白云山,中山纪念堂,骑楼城,龙母庙,四恩寺	肠粉,冰泉豆浆,六堡茶,纸包鸡,梧州腊肠	粤语,粤剧,龙母文化,梧州龙母诞,梧州宝石节
来宾	百崖大峡谷,莫土司衙署,金秀大瑶山,五马拦江,八仙天池	肠粉,米粉,红糟酸,炒螺,酥肉地豆	粤语,客家语,西南官话,麼个话,壮语
淮南	八公山,焦岗湖,茅仙洞,上窑森林公园,峡山口	臭豆腐,馓子,淮南牛肉汤,淮王鱼,豆腐宴	花鼓灯,八公山紫金砚,中国豆腐文化节,淮南子,推剧
贵港	桂平西山风景名胜区,罗丛岩,金田起义地址,大藤峡,龙潭国家森林公园	螺蛳粉,豆腐角,芝麻糊,藕粉,绿豆粥	粤语,客家语,壮语,柳州话,贵港话
马鞍山	石臼湖,褒禅山,采石矶,雨山湖公园,濮塘风景区	茶干,当涂大肉面,石臼湖螃蟹,黄池酱菜,鸭血粉丝	越剧,吴语,黄梅戏,徽剧,庐剧
宿州	皇藏峪,,瑞云寺,九女坟,涉故台	烧饼,撒汤,地锅鸡,油酥馍,面皮	泗州戏,砀山酥梨,坠子戏,灵璧石,梅花篆字
防城港	北部湾海洋文化公园,白浪滩,仙人山公园,簕山古渔村,西湾旅游景区	煎堆,风吹饼,光坡鸡,鸡屎藤粑仔,沙虫瘦肉粥	粤语,客家语,涯话,防城港国际海上龙舟节,壮语
钦州	六峰山,三娘湾,刘永福故居,越州天湖,八寨沟	钦州猪脚粉,粉利,小董麻通,官垌鱼,海鸭蛋	粤语,客家语,钦州坭兴陶,烟墩大鼓,丝弦戏
芜湖	鸠兹广场,镜湖公园,天门山,赭山公园,王稼祥纪念园	蟹黄汤包,无为板鸭,茶干,虾子面,锅巴	吴语,宣纸,芜湖铁画,铁画,徽剧
玉林	云天宫,真武阁,鹿峰山,谢仙嶂,鬼门关	牛腩粉,生料粉,肉蛋,容县沙田柚,酸料	粤语,客家语,闽南语,玉林荔枝狗肉节,中国（玉林）中小企业商机博览会
株洲	炎帝陵,方特,神农公园,醴陵,炎帝广场	血鸭,醴陵小炒肉,醴陵炒粉,麻仁香酥鸭	客家语,赣语,湘语,瑶族
河池	仙人桥,水晶宫,金城江公园,韦拔群纪念馆,南丹温泉	板栗,榨粉,艾糍粑,巴马香猪,龙滩珍珠李	客家语,壮锦,西南官话,壮语,铜鼓文化
邵阳	洞口文昌塔,武冈云山,高洲温泉,白水洞风景名胜区,云山国家森林公园	米粉,南山牧场,宝庆猪血丸子,血浆鸭,豆干	赣语,湘语,祁剧,邵阳花鼓戏,宝庆竹刻
娄底	湄江国家地质公园,湄江风景区,曾国藩故居,梅山龙宫,紫鹊界梯田	三合汤,珠梅土鸡,新化三合汤,永丰辣酱,青树坪米粉	湘语,梅山文化,双峰话
蚌埠	龙子湖,龙子湖公园,卞和洞,望夫石,禹王宫	鸡蛋饼,葱油饼,粽子,湖沟烧饼,烧饼夹里脊	中原官话,泗州戏,花鼓戏,花鼓灯,淮北梆子戏
淮北	皇藏峪,相山公园,临涣古镇,相山,显通寺	烧饼,板面,面皮,烫面,牛筋面	徽剧,庐剧,淮北梆子戏,淮北花鼓戏,淮北琴书
崇左	德天瀑布,左江斜塔,崇左石林,友谊关,恩城国家级自然保护区	鱼丸,艾糍,指天椒,八角,苦丁茶	粤语,瑶族,土家族,苗族,壮族
永州	阳明山,舜帝陵,九嶷山,金洞漂流,千家峒	血鸭,三味辣椒,永州喝螺,永州血鸭,祁阳曲米鱼	湘语,祁剧,捕蛇者说,永州八记,祁阳小调
郴州	北湖公园,刘同,东江湖,桃源洞,莽山	剁椒鱼头,米豆腐,血鸭,鱼粉,东江鱼	湘语,西南官话,湘南土话,资兴说,赶分社
怀化	万佛山,受降纪念坊,龙津风雨桥,高椅古村,中国侗文化城	米豆腐,酸萝卜,靖州杨梅,杨梅酒,辰溪酸萝卜	湘语,西南官话,辰河高腔,共和国第一大将粟裕,通道转兵
百色	靖西县龙潭湿地公园,靖西通灵大峡谷,通灵大峡谷,古龙山峡谷漂流风景区,百色起义纪念公园	糍粑,芒果,五色糯米饭,竹筒饭,白毫茶	粤语,壮语,抛绣球,田东芒果节,天琴
文山	文笔塔,坝美,西华公园,普者黑	酸汤鱼,辣椒骨,酸汤,虫茶	西南官话,壮语,苗语,铜鼓舞
玉溪	哀牢山,抚仙湖,通海秀山,杞麓湖,红塔山	鳝鱼凉米线,新平腌菜,玉溪米线,油卤腐,芝麻片	2012·中国·玉溪米线文化节,玉溪米线文化节,云烟之乡,玉溪镇文化志,玉溪赋
湘西	凤凰古城,乌龙山,芙蓉镇,德夯,南方长城	糍粑,酸萝卜,湘西腊肉,湘西米粉,湘西酸萝卜	赶尸,乾州古城,里耶古城
昭通	大山包,望海公园,念湖,五尺道,昭通抚镇门广场	烧饵块,炸洋芋,小寨樱桃,昭通苹果,酸菜红豆汤	孟孝琚碑
神农架林区	老君山,神农顶,古犀牛洞,神农架滑雪场,官门山	板栗,泡菜,懒豆腐,鸡蛋荞麦饼,腊蹄子	
张家界	天门山,张家界国家森林公园,袁家界,天门山国家森林公园,天子山	团年菜,杜仲茶	哭嫁,茅古斯,桑植民歌
大理	蝴蝶泉,洱海,大理古城,崇圣寺三塔,崇圣寺	乳扇,饵丝,南涧跳菜,饵块,乳饼	白族
恩施	恩施大峡谷,龙鳞宫,恩施土司城,腾龙洞,梭布垭石林	豆皮,合渣,油香儿,社饭,包谷粑	摆手舞,哭嫁,西兰卡普,肉连响,毛古斯舞
楚雄	土林,文峰塔,乌蒙山,光禄古镇,德丰寺	豆瓣酱,藕粉,花椒,蜂蜜,虎掌菌	山茶花,火把节,彝族,插花节,龙华会
曲靖	花山湖,罗平油菜花,麒麟公园,大海草山,海峰湿地	烧饵块,炸洋芋,蒸饵丝,饵丝,宣威火腿	爨龙颜碑,爨文化,爨宝子碑,爨,麒麟仙子
德宏	独树成林,一寨两国,南甸宣抚司署,莫里瀑布,姐勒金塔	小粒咖啡,卷粉,撒撇,稀豆粉,饵丝	三角梅,泼水节,景颇族,汉藏语系,葫芦丝
红河	阿庐古洞,双龙桥,红河哈尼梯田,蒙自租界址,闻一多先生旧居	包浆豆腐,石屏豆腐,蒙自过桥米线,云南红	锡都,锡制工艺品,梯田文化,建水紫陶,阿细跳月
临沧	澜沧江,广允缅寺,漫湾百里长湖景区,五老山,沧源崖画	粑粑卷,红茶烧肉,佤族鸡肉烂饭,拉祜烤肉,牛撒撇	傣族,摸你黑,彝族,佤族,景颇族
普洱	墨江北回归线标志园,碧溪古镇,普阳八景,普益公园,忠爱桥	普洱茶,竹笋,米干,紫米,紫胶	火把节,傣族,瑶族,彝族,佤族
常德	桃花源国家森林公园,城头山古文化遗址,澧州古城,孤峰塔,夹山寺	鸭脖子,牛肉米粉,馄饨,北堤麻辣肉,毛豆	常德方言,跑胡子,武陵戏,澧水船工号子,澧州大鼓
十堰	观音洞,武当山,玄武门,龙潭河风景区,龙潭河	木耳,竹笋,三合汤,郧县酸浆面,杜仲	儿骗,十堰站,武当山站
保山	武侯祠,哀牢山,太保山,腾冲县,太保山公园	施甸三味,清凉磨锅茶,蒲缥甜大蒜,保山豆粉,	西南官话,泼水节,,窝罗节,花山节
随州	中华山,随州文化公园,大洪山风景区,炎帝故里,中国千年银杏谷	糍粑,随州春卷,平林鸡汤,厉山腐乳,应山滑肉	黄梅戏,楚剧,编钟,打锣鼓,随州花鼓戏
益阳	洞庭湖,天问台,魁星楼,竹海,德昌公园	银鱼,擂茶,安化黑茶,黑茶,朱砂盐蛋	茶马古道,油纸伞,益阳话,益阳花鼓戏,水竹凉席
怒江	青藏高原,怒江,丙中洛,三江并流,石门关	烤乳猪,漆油鸡,打茶,杵酒,猴头菌	傣族,瑶族,白族,傈僳族,普米族
潜江	曹禺公园,潜江森林公园	尝香思,锅奎,小龙虾	西南官话,潜江花鼓戏
鄂州	莲花山,龙蟠矶,天平山旅游区,华容镇,白雉山	武昌鱼	鄂州文化体育公园
阿里	冈仁波齐峰,扎达土林,纳木那尼峰,玛旁雍错,古格王朝遗址	酥油茶,青稞酒,糌粑,酥油	藏语,藏族
山南	黑颈鹤,昌珠寺,雍布拉康,藏王墓,雅砻风景名胜区	酥油茶,青稞酒,糌粑,甜茶,酥油	望果节,藏戏,门巴族,藏戏艺术,吉祥歌
昌都	岳庙,长毛岭养鹿场,来古冰川,然乌湖,强巴林寺	糌粑,雪莲,昌都醉梨,怒江裂腹鱼,藏族酥酪糕	藏语,酥油花灯节,藏族,萨噶达瓦节,古庆节
那曲	麦莫溶洞,当惹雍错,那曲双湖无人区,象雄王国遗址,那曲河	酥油茶,酥油,风干肉,干酪,藏酒	藏语,藏族,藏文,热巴舞,那曲赛马节
林芝	南迦巴瓦峰,墨脱公路,雅鲁藏布大峡谷,通麦天险,帕嘎寺	酥油茶,青稞酒,糌粑,酥油	藏语,藏族,门巴族,珞巴族
海西	德令哈,可鲁克湖,柏树山,青海都兰吐蕃墓群,塔里他里哈遗址	酥油,青稞,曲拉,酥油糌粑	香日德寺,鲁茫沟岩画
日喀则	扎什伦布寺,耗牛肉,桑耶寺,宗山抗英遗址,绒布寺	牦牛肉,奶茶,酥油茶,风干肉	望果节,藏历年,藏刀,藏戏,斯马卓
哈密	哈密回王陵,烽燧,兰州湾子古石屋遗址,天山风景区,拉甫却克古城	烤全羊,奶茶,烤包子,羊肉串,油酥馍	汉语,古尔邦节,回族,维吾尔族,维吾尔语
黄石	仙岛湖,东方山,黄石国家矿山公园,团城山公园,小雷山	黄石港饼,金牛千张皮,金柯辣椒,灵溪豆豉,太子豆腐	京剧,楚剧,石雕,阳新采茶戏,阳新布贴
果洛	白云寺,星宿海,阿尼玛卿,拉加寺,鄂陵湖	酸奶,酥油糌粑,羊杂碎汤,果洛牛肉干,黄蘑菇	藏族,阿尼玛卿雪山传说,果洛德昂洒智,唐卡,果洛卓舞
五家渠	一万泉景区,五家渠文化广场,青格达湖	烤全羊,馕,手抓饭,羊肉抓饭,龙须酥	土家族,蒙古族,回族,维吾尔族,哈萨克族
仙桃	甘露寺	沔阳三蒸,仙桃蒸三元	沔阳话,沔阳花鼓戏,沔阳皮影戏,沔阳渔鼓,湖北道情
石河子	将军山,周恩来总理纪念碑,游憩广场,新疆兵团军垦博物馆,巴音山庄	大盘鸡,烤肉,哈密瓜,无花果,羊肉抓饭	达瓦孜,回族,维吾尔族,哈萨克族,兰银官话
黄南	孟达天池,德乾旺姆,吾屯下寺,南宗尼姑寺,隆务寺	酥油茶,青稞酒,糌粑,酥油	藏语,藏族,热贡艺术
海南	日月山,卡约文化遗址,阿尼玛卿,倒淌河,伏俟城	牦牛肉,酸奶,手抓羊肉,酿皮,奶酪	藏语,古尔邦节,开斋节,藏族,兰银官话
阿勒泰	喀纳斯湖,草原石人,蝴蝶沟,布尔根河狸自然保护区,乌伦古湖	手抓饭,熏马肠,大盘鸡,手抓肉,罐罐面	古尔邦节,哈萨克族,毡房,喀纳斯湖水怪,毛毡
吐鲁番	红河谷,火焰山,葡萄沟,苏公塔,柏孜克里克千佛洞	拉条子,葡萄干,葡萄,哈密瓜,羊肉	丝绸之路,木卡姆
海东	孟达天池,公伯峡,翟昙寺,李家峡,互助北山	牦牛肉,酸奶,手抓羊肉,甜醅,西倾山	皮影戏,藏语,古尔邦节,藏族,兰银官话
昌吉	江布拉克,天山天池,昌吉古城,薄皮包子,大佛寺	手抓羊肉,丸子汤,新疆大盘鸡,椒麻鸡,米肠子	古尔邦节,回族,维吾尔族,哈萨克族,都瓦
漯河	沙澧河风景区,小商桥,三绝碑,许慎墓,彼岸寺碑	胡辣汤,烩面,凉粉,豆腐脑,水煎包	农民画,旱船,六合拳,船工号子,双狮舞
克拉玛依	魔鬼城,克拉玛依河,白杨河大峡谷,黑油山,艾里克湖	馕,烤包子,大盘鸡,马奶酒,凉皮子	穆斯林,伊斯兰教,古尔邦节,维吾尔族,肉孜节
迪庆	虎跳峡,普达措国家公园,纳帕海,飞来寺,白马雪山	火锅,糌粑,松茸,奶渣,藏香猪	纳西族,彝族,藏族,藏传佛教,白族
玉树	通天河,三江源自然保护区纪念碑,三江源自然保护区,五道梁站,文成公主庙	酥油茶,青稞酒,糌粑,烤羊肉,青稞	藏语,蒙古族,布依族,玉树赛马会,康巴人
